team,gk_rating,setpiece_rating,crowd_index
Liverpool,0.7,0.6,0.7
Manchester City,0.7,0.6,0.7
Arsenal,0.7,0.6,0.7
Chelsea,0.7,0.6,0.7
Manchester United,0.7,0.6,0.7
Bayern Munich,0.7,0.6,0.7
RB Leipzig,0.7,0.6,0.7
Borussia Dortmund,0.7,0.6,0.7
Bayer Leverkusen,0.7,0.6,0.7
PSG,0.7,0.6,0.7
Marseille,0.7,0.6,0.7
Monaco,0.7,0.6,0.7
Real Madrid,0.7,0.6,0.7
Barcelona,0.7,0.6,0.7
Atlético Madrid,0.7,0.6,0.7
Sevilla,0.7,0.6,0.7
Real Sociedad,0.7,0.6,0.7
Inter,0.7,0.6,0.7
AC Milan,0.7,0.6,0.7
Juventus,0.7,0.6,0.7
Napoli,0.7,0.6,0.7
Roma,0.7,0.6,0.7
Atalanta,0.7,0.6,0.7
Lazio,0.7,0.6,0.7
Ajax,0.7,0.6,0.7
PSV Eindhoven,0.7,0.6,0.7
Feyenoord,0.7,0.6,0.7
Benfica,0.7,0.6,0.7
Porto,0.7,0.6,0.7
Sporting CP,0.7,0.6,0.7
Celtic,0.7,0.6,0.7
Rangers,0.7,0.6,0.7
Slavia Praha,0.7,0.6,0.7
Sparta Praha,0.7,0.6,0.7
Shakhtar Donetsk,0.7,0.6,0.7
Dynamo Kyiv,0.7,0.6,0.7
Galatasaray,0.7,0.6,0.7
Fenerbahce,0.7,0.6,0.7
Olympiacos,0.7,0.6,0.7
Panathinaikos,0.7,0.6,0.7
Red Star Belgrade,0.7,0.6,0.7
Copenhagen,0.7,0.6,0.7
Club Brugge,0.7,0.6,0.7
Anderlecht,0.7,0.6,0.7
Basel,0.7,0.6,0.7
Young Boys,0.7,0.6,0.7
Salzburg,0.7,0.6,0.7
Dinamo Zagreb,0.7,0.6,0.7
Bodo/Glimt,0.7,0.6,0.7
Qarabag,0.7,0.6,0.7
Pafos,0.7,0.6,0.7
